time_s,v_V,i_A,p_W
0.009107589658048374,31.407396566100676,-0.17268113326871332,-5.42346483205416
0.009157631359466222,31.290456944745742,-0.177842173096851,-5.564762860247035
0.00920767306088407,31.170080246152537,-0.18298367798223508,-5.703615926442403
0.009257714762301918,31.04627969301102,-0.18810508316004132,-5.83996302346374
0.009307756463719766,30.919068884101936,-0.19320582607328318,-5.9737442451696605
0.009357798165137614,30.788461792803055,-0.1982853464346055,-6.104900812774568
0.009407839866555462,30.654472765554306,-0.20334308628782838,-6.233375100673994
0.00945788156797331,30.51711652028187,-0.20837849006923656,-6.359110661763291
0.009507923269391158,30.376408144781536,-0.2133910046686033,-6.482052252238476
0.009557964970809006,30.232363095061352,-0.2183800794899481,-6.602145855868471
0.009608006672226856,30.084997193643897,-0.2233451665120151,-6.719338707727903
0.009658048373644704,29.934326627828284,-0.2282857203484704,-6.833579317380178
0.009708090075062552,29.780367947912037,-0.23320119830781003,-6.944817491500585
0.0097581317764804,29.62313806537315,-0.2380910604529719,-7.053004355929492
0.009808173477898249,29.46265425101249,-0.2429547696606435,-7.158092377145919
0.009858215179316097,29.298934133056644,-0.24779179168026275,-7.260035383152111
0.009908256880733945,29.131995695221615,-0.25260159519270187,-7.358788583759904
0.009958298582151793,28.96185727473736,-0.25738365186863055,-7.4543085902699655
0.010008340283569641,28.788537560333594,-0.2621374364265489,-7.546553434535263
0.010058381984987489,28.612055590186923,-0.26686242669048715,-7.635482587400401
0.010108423686405337,28.432430749829617,-0.2715581036473633,-7.721056976508711
0.010158465387823185,28.249682770020183,-0.27622395150399487,-7.803239003469295
0.010208507089241033,28.063831724576126,-0.280859457743754,-7.8819925603764105
0.010258548790658881,27.87489802816888,-0.2854641131828658,-7.9572830456740435
0.01030859049207673,27.68290243408144,-0.2900374120263389,-8.02907737935862
0.01035863219349458,27.487866031928654,-0.2945788519235247,-8.097344017513194
0.010408673894912427,27.289810245340753,-0.2990879340232958,-8.162052966166737
0.010458715596330275,27.088756829610006,-0.3035641630288442,-8.223175794472448
0.010508757297748124,26.884727869301024,-0.3080070472520861,-8.280685647199277
0.010558798999165972,26.67774577582496,-0.3124160986676702,-8.334557256531152
0.01060884070058382,26.467833284977704,-0.3167908329665852,-8.384766953168796
